preferredLabel	CISCO_1	CISCO_2	CISCO_3	CISCO_4
animation director	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Graphic and multimedia designers
quality engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Engineering professionals not elsewhere classified
call centre analyst	Technicians and associate professionals	Business and administration associate professionals	Administrative and specialised secretaries	Office supervisors
nitrator operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
financial manager	Managers	Administrative and commercial managers	Business services and administration managers	Finance managers
distillation operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
wave soldering machine operator	Plant and machine operators and assemblers	Assemblers	Assemblers	Electrical and electronic equipment assemblers
leather production manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Manufacturing managers
security guard	Service and sales workers	Protective services workers	Protective services workers	Security guards
legal consultant	Professionals	Legal, social and cultural professionals	Legal professionals	Legal professionals not elsewhere classified
animal embryo transfer technician	Technicians and associate professionals	Health associate professionals	Veterinary technicians and assistants	Veterinary technicians and assistants
biology technician	Technicians and associate professionals	Science and engineering associate professionals	Life science technicians and related associate professionals	Life science technicians (excluding medical)
medium	Service and sales workers	Personal service workers	Other personal services workers	Astrologers, fortune-tellers and related workers
leather goods warehouse operator	Clerical support workers	Numerical and material recording clerks	Material-recording and transport clerks	Stock clerks
import export specialist in wood and construction materials	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
aquaculture cage technician	Skilled agricultural, forestry and fishery workers	Market-oriented skilled forestry, fishery and hunting workers	Fishery workers, hunters and trappers	Aquaculture workers
import export specialist in agricultural raw materials, seeds and animal feeds	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
environmental mining engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Environmental engineers
sugar refinery operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
construction quality manager	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Civil engineering technicians
utilities inspector	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Physical and engineering science technicians not elsewhere classified
picture archiving and communication systems administrator	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Medical records and health information technicians
equine dental technician	Technicians and associate professionals	Health associate professionals	Veterinary technicians and assistants	Veterinary technicians and assistants
credit manager	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Credit and loans officers
printing textile technician	Craft and related trades workers	Handicraft and printing workers	Printing trades workers	Printers
prison officer	Service and sales workers	Protective services workers	Protective services workers	Prison guards
bicycle mechanic	Craft and related trades workers	Metal, machinery and related trades workers	Machinery mechanics and repairers	Bicycle and related repairers
building electrician	Craft and related trades workers	Electrical and electronic trades workers	Electrical equipment installers and repairers	Building and related electricians
monk/nun	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Legal, social and religious associate professionals	Religious associate professionals
import export specialist in meat and meat products	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
occupational therapist	Professionals	Health professionals	Other health professionals	Health professionals not elsewhere classified
beauty salon manager	Managers	Hospitality, retail and other services managers	Other services managers	Sports, recreation and cultural centre managers
digital games tester	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Software and applications developers and analysts not elsewhere classified
food analyst	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Chemical and physical science technicians
fisheries refrigeration engineer	Technicians and associate professionals	Science and engineering associate professionals	Ship and aircraft controllers and technicians	Ships’ engineers
child care worker	Service and sales workers	Personal care workers	Child care workers and teachers’ aides	Child care workers
tufting operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Weaving and knitting machine operators
automotive engineering drafter	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Draughtspersons
front line medical receptionist	Clerical support workers	Customer services clerks	Client information workers	Receptionists (general)
university department head	Managers	Production and specialised services managers	Professional services managers	Education managers
cocoa press operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
soap drier operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
jewellery designer	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Product and garment designers
set builder	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Interior designers and decorators
slaughterer	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Food processing and related trades workers	Butchers, fishmongers and related food preparers
pipeline environmental project manager	Professionals	Science and engineering professionals	Life science professionals	Environmental protection professionals
man-made fiber spinner	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Fibre preparing, spinning and winding machine operators
movie distributor	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
window installer	Craft and related trades workers	Building and related trades workers, excluding electricians	Building frame and related trades workers	Carpenters and joiners
supreme court judge	Professionals	Legal, social and cultural professionals	Legal professionals	Judges
ICT intelligent systems designer	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Systems analysts
online marketer	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Advertising and marketing professionals
knitter	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Handicraft workers in textile, leather and related materials
pulp grader	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Other craft and related workers	Product graders and testers (excluding foods and beverages)
chemical engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Chemical engineering technicians
venue programmer	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Business services agents not elsewhere classified
wood technology engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Engineering professionals not elsewhere classified
optoelectronic engineer	Professionals	Science and engineering professionals	Electrotechnology engineers	Electronics engineers
wholesale merchant in computers, computer peripheral equipment and software	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
religious education teacher secondary school	Professionals	Teaching professionals	Secondary education teachers	Secondary education teachers
intelligence communications interceptor	Technicians and associate professionals	Science and engineering associate professionals	Armed forces occupations, other ranks	Armed forces occupations, other ranks
visual merchandiser	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Interior designers and decorators
radio technician	Craft and related trades workers	Electrical and electronic trades workers	Electronics and telecommunications installers and repairers	Information and communications technology installers and servicers
chocolatier	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Food processing and related trades workers	Bakers, pastry-cooks and confectionery makers
financial markets back office administrator	Clerical support workers	Numerical and material recording clerks	Numerical clerks	Statistical, finance and insurance clerks
sound editor	Technicians and associate professionals	Information and communications technicians	Telecommunications and broadcasting technicians	Broadcasting and audiovisual technicians
advanced nurse practitioner	Professionals	Health professionals	Nursing and midwifery professionals	Nursing professionals
architectural drafter	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Draughtspersons
stop-motion animator	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Graphic and multimedia designers
driller	Plant and machine operators and assemblers	Stationary plant and machine operators	Mining and mineral processing plant operators	Miners and quarriers
coffee roaster	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
leather goods quality controller	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Other craft and related workers	Product graders and testers (excluding foods and beverages)
paper pulp moulding operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Wood processing and papermaking plant operators	Pulp and papermaking plant operators
fruit and vegetable picker	Elementary occupations	Agricultural, forestry and fishery labourers	Agricultural, forestry and fishery labourers	Crop farm labourers
security guard supervisor	Service and sales workers	Protective services workers	Protective services workers	Security guards
artistic painter	Professionals	Legal, social and cultural professionals	Creative and performing artists	Visual artists
jewellery engraver	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Jewellery and precious-metal workers
starch converting operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
information manager	Professionals	Legal, social and cultural professionals	Librarians, archivists and curators	Librarians and related information professionals
purchasing manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
gaming inspector	Technicians and associate professionals	Business and administration associate professionals	Regulatory government associate professionals	Regulatory government associate professionals not elsewhere classified
library assistant	Clerical support workers	Other clerical support workers	Other clerical support workers	Library clerks
food service vocational teacher	Professionals	Teaching professionals	Vocational education teachers	Vocational education teachers
butcher	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Food processing and related trades workers	Butchers, fishmongers and related food preparers
machinery assembly supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Manufacturing supervisors
china and glassware distribution manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
clothing quality inspector	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Other craft and related workers	Product graders and testers (excluding foods and beverages)
mechanical engineering drafter	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Draughtspersons
competition policy officer	Professionals	Business and administration professionals	Administration professionals	Policy administration professionals
car leasing agent	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
marine surveyor	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Mechanical engineering technicians
police detective	Technicians and associate professionals	Business and administration associate professionals	Regulatory government associate professionals	Police inspectors and detectives
sport official	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Sports and fitness workers	Sports coaches, instructors and officials
computer hardware engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Electronics engineering technicians
investment adviser	Professionals	Business and administration professionals	Finance professionals	Financial and investment advisers
amusement park cleaner	Service and sales workers	Personal service workers	Building and housekeeping supervisors	Building caretakers
rental service representative	Service and sales workers	Sales workers	Other sales workers	Sales workers not elsewhere classified
economic policy officer	Professionals	Business and administration professionals	Finance professionals	Financial and investment advisers
sport therapist	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Sports and fitness workers	Fitness and recreation instructors and program leaders
